FRAME_NUM,TIME_STAMP,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z
138,Jun-23-2022 15:22:15.251,2,0.04,1.19,0.68,1,-0.71,1.56,1.48
139,Jun-23-2022 15:22:15.362,2,0.19,1.18,0.86,1,-0.64,1.58,1.58
140,Jun-23-2022 15:22:15.473,2,0.25,1.18,0.92,1,-0.51,1.36,0.90
141,Jun-23-2022 15:22:15.584,2,0.28,1.16,1.00,1,-0.36,1.28,0.65
142,Jun-23-2022 15:22:15.695,2,0.29,1.10,0.97,1,-0.40,1.31,0.82
143,Jun-23-2022 15:22:15.806,2,0.29,1.09,0.99,1,-0.44,1.40,1.26
144,Jun-23-2022 15:22:15.917,2,0.22,1.04,0.91,1,-0.53,1.44,1.38
145,Jun-23-2022 15:22:16.029,2,0.23,1.04,1.00,1,-0.57,1.48,1.42
146,Jun-23-2022 15:22:16.140,2,0.25,1.05,1.10,1,-0.59,1.53,1.50
147,Jun-23-2022 15:22:16.251,2,0.28,1.04,1.06,1,-0.62,1.47,1.58
148,Jun-23-2022 15:22:16.362,2,0.29,1.05,1.10,1,-0.62,1.45,1.56
149,Jun-23-2022 15:22:16.473,2,0.26,1.07,1.11,1,-0.61,1.50,1.66
150,Jun-23-2022 15:22:16.584,2,0.27,1.06,1.08,1,-0.58,1.51,1.71
151,Jun-23-2022 15:22:16.695,2,0.27,1.06,1.12,1,-0.55,1.51,1.75
152,Jun-23-2022 15:22:16.806,2,0.30,1.06,1.18,1,-0.55,1.52,1.75
153,Jun-23-2022 15:22:16.917,2,0.34,1.07,1.30,1,-0.54,1.52,1.75
154,Jun-23-2022 15:22:17.029,2,0.34,1.06,1.25,1,-0.54,1.53,1.75
155,Jun-23-2022 15:22:17.140,2,0.30,1.07,1.22,1,-0.54,1.53,1.75
156,Jun-23-2022 15:22:17.251,2,0.28,1.08,1.15,1,-0.54,1.54,1.75
157,Jun-23-2022 15:22:17.362,2,0.27,1.07,1.10,1,-0.54,1.54,1.75
158,Jun-23-2022 15:22:17.473,2,0.29,1.05,1.14,1,-0.54,1.54,1.75
159,Jun-23-2022 15:22:17.584,2,0.28,1.04,1.10,1,-0.53,1.54,1.75
160,Jun-23-2022 15:22:17.695,2,0.27,1.05,1.08
161,Jun-23-2022 15:22:17.806,2,0.28,1.06,1.15
162,Jun-23-2022 15:22:17.917,2,0.28,1.05,1.10
163,Jun-23-2022 15:22:18.029,2,0.30,1.04,1.07
164,Jun-23-2022 15:22:18.140,2,0.30,1.04,1.05
165,Jun-23-2022 15:22:18.251,2,0.27,1.06,1.05
166,Jun-23-2022 15:22:18.362,2,0.26,1.07,1.12
167,Jun-23-2022 15:22:18.473,2,0.32,1.08,1.32
168,Jun-23-2022 15:22:18.584,2,0.35,1.09,1.41
169,Jun-23-2022 15:22:18.695,2,0.35,1.09,1.34
170,Jun-23-2022 15:22:18.806,2,0.28,1.08,1.19
171,Jun-23-2022 15:22:18.917,2,0.30,1.08,1.22
172,Jun-23-2022 15:22:19.029,2,0.33,1.07,1.24
173,Jun-23-2022 15:22:19.140,2,0.33,1.08,1.22
174,Jun-23-2022 15:22:19.251,2,0.26,1.09,1.14
175,Jun-23-2022 15:22:19.362,2,0.24,1.08,1.10
176,Jun-23-2022 15:22:19.473,2,0.24,1.08,1.08
177,Jun-23-2022 15:22:19.584,2,0.24,1.07,1.07
178,Jun-23-2022 15:22:19.695,2,0.25,1.07,1.06
179,Jun-23-2022 15:22:19.806,2,0.26,1.06,1.06
180,Jun-23-2022 15:22:19.917,2,0.28,1.04,1.04
181,Jun-23-2022 15:22:20.029,2,0.28,1.04,1.07
182,Jun-23-2022 15:22:20.140,2,0.26,1.06,1.09
